Année,Numéro,Département,Code INSEE,Nom de la commune,Date de première alerte,Surface parcourue (m2),Surface forêt (m2),Surface maquis garrigues (m2),Autres surfaces naturelles hors forêt (m2),Surfaces agricoles (m2),Autres surfaces (m2),Surface autres terres boisées (m2),Surfaces non boisées naturelles (m2),Surfaces non boisées artificialisées (m2),Surfaces non boisées (m2),Précision des surfaces,Type de peuplement,Décès ou bâtiments touchés,Nombre de décès,Nombre de bâtiments totalement détruits,Nombre de bâtiments partiellement détruits,Précision de la donnée,Nature,Malveillant
2023,21477,83,83091,Pierrefeu-du-Var,2023-03-29 15:21:00,500,500.0,0.0,0.0,0.0,0.0,,,,,Estimées,,Non,0.0,0.0,0.0,Données partielles ou non valides,Involontaire (particulier),0
2024,23271,38,38410,Saint-Lattier,2024-04-08 14:17:00,200,200.0,,0.0,0.0,0.0,,,,,Estimées,,Non,,,,,Involontaire (travaux),0
2022,17013,2A,2A006,Alata,2022-07-17 21:39:00,1000,,1000.0,,,,,,,,,1.0,,,,,,Accidentelle,0
2024,23132,34,34334,Vieussan,2024-09-14 14:26:00,78,0.0,78.0,0.0,0.0,0.0,,,,,Mesurées,1.0,Non,,,,,Involontaire (particulier),0
2022,14950,30,30229,Saint-André-de-Majencoules,2022-05-26 15:40:00,34420,34420.0,,,,,,,,,,3.0,,,,,,Malveillance,1
2022,11671,33,33297,Moulis-en-Médoc,2022-07-07 13:19:00,500,500.0,,0.0,,,0.0,,,0.0,Estimées,,Non,,,,,Accidentelle,0
2023,252,56,56120,Locqueltas,2023-01-28 16:05:00,800,800.0,,0.0,0.0,0.0,,,,,Estimées,,Non,,,,,Involontaire (travaux),0
2022,231,15,15014,Aurillac,2022-03-25 21:06:00,40,0.0,,40.0,,,40.0,0.0,0.0,0.0,Mesurées,,,,,,,Involontaire (particulier),0
2024,28269,2A,2A247,Porto-Vecchio,2024-08-16 18:31:00,80,0.0,80.0,0.0,0.0,0.0,,,,,Mesurées,,Non,,,,,Naturelle,0
2022,11403,33,33514,Soulac-sur-Mer,2022-08-11 06:21:00,3000,3000.0,,0.0,,,0.0,,,0.0,Estimées,,Non,,,,,Involontaire (particulier),0
